timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-07-17T11:28:50,athlete_model_training,8719fb91-19bb-40f0-80a3-e10701e68943,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.4492394999979297,1.2289358281648888e-05,5.017622115623758e-06,42.5,0.0,6.0,2.8906995275661353e-05,0.0,4.08034992999698e-06,3.298734520565833e-05,United States,USA,massachusetts,,,macOS-15.5-arm64-arm-64bit,3.10.18,3.0.4,14,Apple M4 Pro,,,-71.1284,42.3737,24.0,machine,N,1.0
2025-07-17T11:29:23,athlete_model_training,5eba45eb-4ff5-4782-b488-4a496647447c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.523307625000598,1.2660970305373066e-05,5.017608705308005e-06,42.5,0.0,6.0,2.9781107638816847e-05,0.0,4.203726111663855e-06,3.39848337504807e-05,United States,USA,massachusetts,,,macOS-15.5-arm64-arm-64bit,3.10.18,3.0.4,14,Apple M4 Pro,,,-71.1284,42.3737,24.0,machine,N,1.0
